English,Hindi,Kaithi
I'm tired,मैं थक गया हूँ।,𑂧𑂶𑂁 𑂟𑂍 𑂏𑂨𑂰 𑂯𑂴𑂀।
It's cold,ठंड हो रही है।,𑂘𑂁𑂙 𑂯𑂷 𑂩𑂯𑂲 𑂯𑂶।
Who knows ,कौन जाने?,𑂍𑂸𑂢 𑂔𑂰𑂢𑂵?
Who knows ,किसको पता है?,𑂍𑂱𑂮𑂍𑂷 𑂣𑂞𑂰 𑂯𑂶?
Who knows ,किसे पता है?,𑂍𑂱𑂮𑂵 𑂣𑂞𑂰 𑂯𑂶?
Who knows ,किसे मालूम है?,𑂍𑂱𑂮𑂵 𑂧𑂰𑂪𑂴𑂧 𑂯𑂶?
Wonderful,अद्भुत,𑂃𑂠𑂹𑂦𑂳𑂞
Birds sing,पंछी गाते हैं।,𑂣𑂁𑂓𑂲 𑂏𑂰𑂞𑂵 𑂯𑂶𑂁।
Come on in ,अंदर आ जाओ।,𑂃𑂁𑂠𑂩 𑂄 𑂔𑂰𑂋।
Definitely,निश्चित ही,𑂢𑂱𑂬𑂹𑂒𑂱𑂞 𑂯𑂲
Don't move,हिलो मत।,𑂯𑂱𑂪𑂷 𑂧𑂞।
Fire burns,आग जलाती है।,𑂄𑂏 𑂔𑂪𑂰𑂞𑂲 𑂯𑂶।
Follow him,उसका पीछा करो।,𑂇𑂮𑂍𑂰 𑂣𑂲𑂓𑂰 𑂍𑂩𑂷।
I am tired,मैं थक गया हूँ।,𑂧𑂶𑂁 𑂟𑂍 𑂏𑂨𑂰 𑂯𑂴𑂀।
I can swim,मुझे तैरना आता है।,𑂧𑂳𑂕𑂵 𑂞𑂶𑂩𑂢𑂰 𑂄𑂞𑂰 𑂯𑂶।
I can swim,मैं तैर सकता हूँ।,𑂧𑂶𑂁 𑂞𑂶𑂩 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀।
I love you,मैं तुमसे प्यार करती हूँ।,𑂧𑂶𑂁 𑂞𑂳𑂧𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂲 𑂯𑂴𑂀।
I love you,मैं तुमसे प्यार करता हूँ।,𑂧𑂶𑂁 𑂞𑂳𑂧𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂰 𑂯𑂴𑂀।
I love you,मैं आपसे प्यार करता हूँ।,𑂧𑂶𑂁 𑂄𑂣𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂰 𑂯𑂴𑂀।
I love you,मैं आपसे प्यार करती हूँ।,𑂧𑂶𑂁 𑂄𑂣𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂍𑂩𑂞𑂲 𑂯𑂴𑂀।
I love you,मुझे तुमसे प्यार है।,𑂧𑂳𑂕𑂵 𑂞𑂳𑂧𑂮𑂵 𑂣𑂹𑂨𑂰𑂩 𑂯𑂶।
I will try,मैं कोशिश करूँगा।,𑂧𑂶𑂁 𑂍𑂷𑂬𑂱𑂬 𑂍𑂩𑂴𑂀𑂏𑂰।
I'm coming,मैं आ रहा हूँ।,𑂧𑂶𑂁 𑂄 𑂩𑂯𑂰 𑂯𑂴𑂀।
I'm hungry,मुझे भूख लगी है!,𑂧𑂳𑂕𑂵 𑂦𑂴𑂎 𑂪𑂏𑂲 𑂯𑂶!
I'm hungry,मुझे भूख लगी है।,𑂧𑂳𑂕𑂵 𑂦𑂴𑂎 𑂪𑂏𑂲 𑂯𑂶।
Let him in,उसे अंदर भेजो।,𑂇𑂮𑂵 𑂃𑂁𑂠𑂩 𑂦𑂵𑂔𑂷।
Let him in,उसे अंगर आने दो।,𑂇𑂮𑂵 𑂃𑂁𑂏𑂩 𑂄𑂢𑂵 𑂠𑂷।
Let me out,मुझे बाहर जाने दो!,𑂧𑂳𑂕𑂵 𑂥𑂰𑂯𑂩 𑂔𑂰𑂢𑂵 𑂠𑂷!
Once again,और एक बार।,𑂌𑂩 𑂉𑂍 𑂥𑂰𑂩।
Please sit,बैठिए।,𑂥𑂶𑂘𑂱𑂉।
What's new,क्या नया है?,𑂍𑂹𑂨𑂰 𑂢𑂨𑂰 𑂯𑂶?
What's new,नया क्या है?,𑂢𑂨𑂰 𑂍𑂹𑂨𑂰 𑂯𑂶?
Who's that,वह कौन है?,𑂫𑂯 𑂍𑂸𑂢 𑂯𑂶?
Don't shout,चिल्लाओ मत!,𑂒𑂱𑂪𑂹𑂪𑂰𑂋 𑂧𑂞!
Don't shout,चिल्लाईए मत।,𑂒𑂱𑂪𑂹𑂪𑂰𑂆𑂉 𑂧𑂞।
He stood up,वह खड़ा हो गया।,𑂫𑂯 𑂎𑂙़𑂰 𑂯𑂷 𑂏𑂨𑂰।
He's strong,वह ताकतवर है।,𑂫𑂯 𑂞𑂰𑂍𑂞𑂫𑂩 𑂯𑂶।
How are you,आप कैसे हैं?,𑂄𑂣 𑂍𑂶𑂮𑂵 𑂯𑂶𑂁?
How are you,तुम कैसे हो?,𑂞𑂳𑂧 𑂍𑂶𑂮𑂵 𑂯𑂷?
How are you,तुम कैसी हो?,𑂞𑂳𑂧 𑂍𑂶𑂮𑂲 𑂯𑂷?
How are you,तू कैसा है?,𑂞𑂴 𑂍𑂶𑂮𑂰 𑂯𑂶?
How are you,तू कैसी है?,𑂞𑂴 𑂍𑂶𑂮𑂲 𑂯𑂶?
How are you,आप कैसी हैं?,𑂄𑂣 𑂍𑂶𑂮𑂲 𑂯𑂶𑂁?
How are you,आप कैसे हो?,𑂄𑂣 𑂍𑂶𑂮𑂵 𑂯𑂷?
I am hungry,मुझे भूख लगी है।,𑂧𑂳𑂕𑂵 𑂦𑂴𑂎 𑂪𑂏𑂲 𑂯𑂶।
I like both,मुझे दोनो पसंद हैं।,𑂧𑂳𑂕𑂵 𑂠𑂷𑂢𑂷 𑂣𑂮𑂁𑂠 𑂯𑂶𑂁।
I like cake,मुझे केक अच्छा लगता है।,𑂧𑂳𑂕𑂵 𑂍𑂵𑂍 𑂃𑂒𑂹𑂓𑂰 𑂪𑂏𑂞𑂰 𑂯𑂶।
I like dogs,मुझे कुत्ते अच्छे लगते हैं।,𑂧𑂳𑂕𑂵 𑂍𑂳𑂞𑂹𑂞𑂵 𑂃𑂒𑂹𑂓𑂵 𑂪𑂏𑂞𑂵 𑂯𑂶𑂁।
I like math,मुझे गणित पसंद है।,𑂧𑂳𑂕𑂵 𑂏𑂝𑂱𑂞 𑂣𑂮𑂁𑂠 𑂯𑂶।
I'll attend,मैं आऊंगा।,𑂧𑂶𑂁 𑂄𑂈𑂁𑂏𑂰।
Nobody came,कोई नहीं आया।,𑂍𑂷𑂆 𑂢𑂯𑂲𑂁 𑂄𑂨𑂰।
Was I wrong,क्या मैं ग़लत था?,𑂍𑂹𑂨𑂰 𑂧𑂶𑂁 𑂏़𑂪𑂞 𑂟𑂰?
What's this,यह क्या है?,𑂨𑂯 𑂍𑂹𑂨𑂰 𑂯𑂶?
Are you sick,क्या तुम बीमार हो?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧 𑂥𑂲𑂧𑂰𑂩 𑂯𑂷?
Bring him in,उसको अंदर ले आओ।,𑂇𑂮𑂍𑂷 𑂃𑂁𑂠𑂩 𑂪𑂵 𑂄𑂋।
Come with us,हमारे साथ आओ।,𑂯𑂧𑂰𑂩𑂵 𑂮𑂰𑂟 𑂄𑂋।
Happy Easter,एसटर मुबारक हो!,𑂉𑂮𑂗𑂩 𑂧𑂳𑂥𑂰𑂩𑂍 𑂯𑂷!
Has Tom left,टॉम चला गया क्या?,𑂗ॉ𑂧 𑂒𑂪𑂰 𑂏𑂨𑂰 𑂍𑂹𑂨𑂰?
He is French,वह फ़्रानसीसी है।,𑂫𑂯 𑂤़𑂹𑂩𑂰𑂢𑂮𑂲𑂮𑂲 𑂯𑂶।
I am at home,मैं घर पर हूँ।,𑂧𑂶𑂁 𑂐𑂩 𑂣𑂩 𑂯𑂴𑂀।
I can't move,मैं हिल नहीं सकता।,𑂧𑂶𑂁 𑂯𑂱𑂪 𑂢𑂯𑂲𑂁 𑂮𑂍𑂞𑂰।
I don't know,मुझे नहीं पता।,𑂧𑂳𑂕𑂵 𑂢𑂯𑂲𑂁 𑂣𑂞𑂰।
I don't know,मुझे नहीं मालूम।,𑂧𑂳𑂕𑂵 𑂢𑂯𑂲𑂁 𑂧𑂰𑂪𑂴𑂧।
I have a car,मेरे पास एक गाड़ी है।,𑂧𑂵𑂩𑂵 𑂣𑂰𑂮 𑂉𑂍 𑂏𑂰𑂙़𑂲 𑂯𑂶।
I have a dog,मेरे पास एक कुत्ता है।,𑂧𑂵𑂩𑂵 𑂣𑂰𑂮 𑂉𑂍 𑂍𑂳𑂞𑂹𑂞𑂰 𑂯𑂶।
I understand,मैं समझता हूँ।,𑂧𑂶𑂁 𑂮𑂧𑂕𑂞𑂰 𑂯𑂴𑂀।
I'm a doctor,मैं डॉक्टर हूँ।,𑂧𑂶𑂁 𑂙ॉ𑂍𑂹𑂗𑂩 𑂯𑂴𑂀।
I'm starving,मैं भूख से मरा जा रहा हूँ।,𑂧𑂶𑂁 𑂦𑂴𑂎 𑂮𑂵 𑂧𑂩𑂰 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀।
It is a book,यह किताब है।,𑂨𑂯 𑂍𑂱𑂞𑂰𑂥 𑂯𑂶।
It's snowing,बरफ़ गिर रही है।,𑂥𑂩𑂤़ 𑂏𑂱𑂩 𑂩𑂯𑂲 𑂯𑂶।
It's too big,बहुत ज़्यादा बड़ा है।,𑂥𑂯𑂳𑂞 𑂔़𑂹𑂨𑂰𑂠𑂰 𑂥𑂙़𑂰 𑂯𑂶।
Please leave,कृपया जाईये।,𑂍ृ𑂣𑂨𑂰 𑂔𑂰𑂆𑂨𑂵।
Unbelievable,अविश्वसनीय!,𑂃𑂫𑂱𑂬𑂹𑂫𑂮𑂢𑂲𑂨!
We are happy,हम खुश हैं।,𑂯𑂧 𑂎𑂳𑂬 𑂯𑂶𑂁।
What is this,यह क्या है?,𑂨𑂯 𑂍𑂹𑂨𑂰 𑂯𑂶?
Are you tired,थक गए हो क्या?,𑂟𑂍 𑂏𑂉 𑂯𑂷 𑂍𑂹𑂨𑂰?
Can you drive,तुम गाड़ी चला सकते हो क्या?,𑂞𑂳𑂧 𑂏𑂰𑂙़𑂲 𑂒𑂪𑂰 𑂮𑂍𑂞𑂵 𑂯𑂷 𑂍𑂹𑂨𑂰?
Don't get fat,मोटे मत हो जाना।,𑂧𑂷𑂗𑂵 𑂧𑂞 𑂯𑂷 𑂔𑂰𑂢𑂰।
Don't give in,हार मत मान लो।,𑂯𑂰𑂩 𑂧𑂞 𑂧𑂰𑂢 𑂪𑂷।
Drink it down,पीकर खतम करदो।,𑂣𑂲𑂍𑂩 𑂎𑂞𑂧 𑂍𑂩𑂠𑂷।
Everyone dies,मौत तो सभी की होती है।,𑂧𑂸𑂞 𑂞𑂷 𑂮𑂦𑂲 𑂍𑂲 𑂯𑂷𑂞𑂲 𑂯𑂶।
Flowers bloom,फूल खिलते हैं।,𑂤𑂴𑂪 𑂎𑂱𑂪𑂞𑂵 𑂯𑂶𑂁।
I am who I am,मैं हूँ जो हूँ।,𑂧𑂶𑂁 𑂯𑂴𑂀 𑂔𑂷 𑂯𑂴𑂀।
I'll take him,मैं उसे लेलूँगा।,𑂧𑂶𑂁 𑂇𑂮𑂵 𑂪𑂵𑂪𑂴𑂀𑂏𑂰।
I'm tired now,मैं अब थक गया हूँ।,𑂧𑂶𑂁 𑂃𑂥 𑂟𑂍 𑂏𑂨𑂰 𑂯𑂴𑂀।
I'm very busy,मैं बहुत व्यस्थ हूँ।,𑂧𑂶𑂁 𑂥𑂯𑂳𑂞 𑂫𑂹𑂨𑂮𑂹𑂟 𑂯𑂴𑂀।
Is that a cat,वह बिल्ली है क्या?,𑂫𑂯 𑂥𑂱𑂪𑂹𑂪𑂲 𑂯𑂶 𑂍𑂹𑂨𑂰?
It's for free,यह मुफ़्त है।,𑂨𑂯 𑂧𑂳𑂤़𑂹𑂞 𑂯𑂶।
It's for free,यह मुफ़्त का है।,𑂨𑂯 𑂧𑂳𑂤़𑂹𑂞 𑂍𑂰 𑂯𑂶।
Let me try it,मुझे दिखाओ।,𑂧𑂳𑂕𑂵 𑂠𑂱𑂎𑂰𑂋।
Let me try it,मुझे देखने दो।,𑂧𑂳𑂕𑂵 𑂠𑂵𑂎𑂢𑂵 𑂠𑂷।
Let me try it,मुझे ट्राए करने दो।,𑂧𑂳𑂕𑂵 𑂗𑂹𑂩𑂰𑂉 𑂍𑂩𑂢𑂵 𑂠𑂷।
Make it quick,जल्दी कीजिए।,𑂔𑂪𑂹𑂠𑂲 𑂍𑂲𑂔𑂱𑂉।
May I come in,मैं अंदर आ सकता हूँ क्या?,𑂧𑂶𑂁 𑂃𑂁𑂠𑂩 𑂄 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀 𑂍𑂹𑂨𑂰?
Open the door,दरवाज़ा खोलो।,𑂠𑂩𑂫𑂰𑂔़𑂰 𑂎𑂷𑂪𑂷।
Open the door,दरवाज़ा खोलिए।,𑂠𑂩𑂫𑂰𑂔़𑂰 𑂎𑂷𑂪𑂱𑂉।
Please get in,कृपया अंदर आईए।,𑂍ृ𑂣𑂨𑂰 𑂃𑂁𑂠𑂩 𑂄𑂆𑂉।
Read it again,इसे दोबारा पढ़ें।,𑂅𑂮𑂵 𑂠𑂷𑂥𑂰𑂩𑂰 𑂣𑂛़𑂵𑂁।
Read it aloud,पढ़के सुनाओ।,𑂣𑂛़𑂍𑂵 𑂮𑂳𑂢𑂰𑂋।
She bent down,वह नीचे झुकी।,𑂫𑂯 𑂢𑂲𑂒𑂵 𑂕𑂳𑂍𑂲।
Some fish fly,कुछ मछलियाँ उड़ सकतीं हैं।,𑂍𑂳𑂓 𑂧𑂓𑂪𑂱𑂨𑂰𑂀 𑂇𑂙़ 𑂮𑂍𑂞𑂲𑂁 𑂯𑂶𑂁।
This is a map,यह नक्शा है।,𑂨𑂯 𑂢𑂍𑂹𑂬𑂰 𑂯𑂶।
Tom is my son,टॉम मेरा लड़का है।,𑂗ॉ𑂧 𑂧𑂵𑂩𑂰 𑂪𑂙़𑂍𑂰 𑂯𑂶।
We're in town,हम शहर में हैं।,𑂯𑂧 𑂬𑂯𑂩 𑂧𑂵𑂁 𑂯𑂶𑂁।
Were you shot,क्या तुम्हें गोली लग गई थी?,𑂍𑂹𑂨𑂰 𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂏𑂷𑂪𑂲 𑂪𑂏 𑂏𑂆 𑂟𑂲?
What about us,हमारा क्या?,𑂯𑂧𑂰𑂩𑂰 𑂍𑂹𑂨𑂰?
Can I help you,क्या मैं आपकी सहायता कर सकता हूँ?,𑂍𑂹𑂨𑂰 𑂧𑂶𑂁 𑂄𑂣𑂍𑂲 𑂮𑂯𑂰𑂨𑂞𑂰 𑂍𑂩 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀?
Can I help you,क्या मैं आपकी मदद कर सकता हूँ?,𑂍𑂹𑂨𑂰 𑂧𑂶𑂁 𑂄𑂣𑂍𑂲 𑂧𑂠𑂠 𑂍𑂩 𑂮𑂍𑂞𑂰 𑂯𑂴𑂀?
Clean the room,कमरे को साफ़ करो।,𑂍𑂧𑂩𑂵 𑂍𑂷 𑂮𑂰𑂤़ 𑂍𑂩𑂷।
Don't touch it,उसे छूना मत।,𑂇𑂮𑂵 𑂓𑂴𑂢𑂰 𑂧𑂞।
Get out of bed,बिस्तर से बाहर निकलो!,𑂥𑂱𑂮𑂹𑂞𑂩 𑂮𑂵 𑂥𑂰𑂯𑂩 𑂢𑂱𑂍𑂪𑂷!
Happy New Year,नव वर्ष की शुभकामनाएं!,𑂢𑂫 𑂫𑂩𑂹𑂭 𑂍𑂲 𑂬𑂳𑂦𑂍𑂰𑂧𑂢𑂰𑂉𑂁!
Happy New Year,नए साल की बधाईयाँ।,𑂢𑂉 𑂮𑂰𑂪 𑂍𑂲 𑂥𑂡𑂰𑂆𑂨𑂰𑂀।
Happy birthday,जन्मदिन मुबारक हो!,𑂔𑂢𑂹𑂧𑂠𑂱𑂢 𑂧𑂳𑂥𑂰𑂩𑂍 𑂯𑂷!
He has a beard,उसके पास दाढ़ी है।,𑂇𑂮𑂍𑂵 𑂣𑂰𑂮 𑂠𑂰𑂛़𑂲 𑂯𑂶।
He is an actor,वह अभिनेता है।,𑂫𑂯 𑂃𑂦𑂱𑂢𑂵𑂞𑂰 𑂯𑂶।
He needs money,उसे पैसों की ज़रूरत है।,𑂇𑂮𑂵 𑂣𑂶𑂮𑂷𑂁 𑂍𑂲 𑂔़𑂩𑂴𑂩𑂞 𑂯𑂶।
He was hard up,उसको पैसों की कमी थी।,𑂇𑂮𑂍𑂷 𑂣𑂶𑂮𑂷𑂁 𑂍𑂲 𑂍𑂧𑂲 𑂟𑂲।
I like history,मुझे इतिहास पसंद है।,𑂧𑂳𑂕𑂵 𑂅𑂞𑂱𑂯𑂰𑂮 𑂣𑂮𑂁𑂠 𑂯𑂶।
I like the dog,मुझे यह कुत्ता अच्छा लगता है।,𑂧𑂳𑂕𑂵 𑂨𑂯 𑂍𑂳𑂞𑂹𑂞𑂰 𑂃𑂒𑂹𑂓𑂰 𑂪𑂏𑂞𑂰 𑂯𑂶।
I must buy one,मुझे एक तो खरीदना ही होगा।,𑂧𑂳𑂕𑂵 𑂉𑂍 𑂞𑂷 𑂎𑂩𑂲𑂠𑂢𑂰 𑂯𑂲 𑂯𑂷𑂏𑂰।
I'll come back,मैं वापस आऊँगा।,𑂧𑂶𑂁 𑂫𑂰𑂣𑂮 𑂄𑂈𑂀𑂏𑂰।
I'll phone you,मैं तुम्हें फ़ोन करूँगा।,𑂧𑂶𑂁 𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂤़𑂷𑂢 𑂍𑂩𑂴𑂀𑂏𑂰।
I'll stay home,मैं घर पर ही रहूँगा।,𑂧𑂶𑂁 𑂐𑂩 𑂣𑂩 𑂯𑂲 𑂩𑂯𑂴𑂀𑂏𑂰।
I'm an atheist,मैं अनीश्वरवादी हूँ।,𑂧𑂶𑂁 𑂃𑂢𑂲𑂬𑂹𑂫𑂩𑂫𑂰𑂠𑂲 𑂯𑂴𑂀।
I'm an atheist,मैं भगवान में यकीन नहीं करता।,𑂧𑂶𑂁 𑂦𑂏𑂫𑂰𑂢 𑂧𑂵𑂁 𑂨𑂍𑂲𑂢 𑂢𑂯𑂲𑂁 𑂍𑂩𑂞𑂰।
I'm very tired,मैं बहुत थक गया हूँ।,𑂧𑂶𑂁 𑂥𑂯𑂳𑂞 𑂟𑂍 𑂏𑂨𑂰 𑂯𑂴𑂀।
It's hot today,आज मौसम बहुत गरम है।,𑂄𑂔 𑂧𑂸𑂮𑂧 𑂥𑂯𑂳𑂞 𑂏𑂩𑂧 𑂯𑂶।
It's this book,यह किताब है।,𑂨𑂯 𑂍𑂱𑂞𑂰𑂥 𑂯𑂶।
It's your move,तुम्हारी चाल है।,𑂞𑂳𑂧𑂹𑂯𑂰𑂩𑂲 𑂒𑂰𑂪 𑂯𑂶।
Only God knows,भगवान जाने।,𑂦𑂏𑂫𑂰𑂢 𑂔𑂰𑂢𑂵।
Summer is over,गर्मियाँ खतम हों चुकीं हैं।,𑂏𑂩𑂹𑂧𑂱𑂨𑂰𑂀 𑂎𑂞𑂧 𑂯𑂷𑂁 𑂒𑂳𑂍𑂲𑂁 𑂯𑂶𑂁।
Take your time,आराम से आओ।,𑂄𑂩𑂰𑂧 𑂮𑂵 𑂄𑂋।
Think about it,सोच लो।,𑂮𑂷𑂒 𑂪𑂷।
This is a book,यह एक किताब है।,𑂨𑂯 𑂉𑂍 𑂍𑂱𑂞𑂰𑂥 𑂯𑂶।
This is a book,यह किताब है।,𑂨𑂯 𑂍𑂱𑂞𑂰𑂥 𑂯𑂶।
This is my bag,यह मेरा बस्ता है।,𑂨𑂯 𑂧𑂵𑂩𑂰 𑂥𑂮𑂹𑂞𑂰 𑂯𑂶।
This is my dog,यह मेरा कुत्ता है।,𑂨𑂯 𑂧𑂵𑂩𑂰 𑂍𑂳𑂞𑂹𑂞𑂰 𑂯𑂶।
Wash your feet,अपने पैर धोओ।,𑂃𑂣𑂢𑂵 𑂣𑂶𑂩 𑂡𑂷𑂋।
We study music,हम संगीत की पढ़ाई करते हैं।,𑂯𑂧 𑂮𑂁𑂏𑂲𑂞 𑂍𑂲 𑂣𑂛़𑂰𑂆 𑂍𑂩𑂞𑂵 𑂯𑂶𑂁।
We'll call you,हम आपको फ़ोन करेंगे।,𑂯𑂧 𑂄𑂣𑂍𑂷 𑂤़𑂷𑂢 𑂍𑂩𑂵𑂁𑂏𑂵।
We'll call you,हम आपको बुलाएँगे।,𑂯𑂧 𑂄𑂣𑂍𑂷 𑂥𑂳𑂪𑂰𑂉𑂀𑂏𑂵।
Where were you,तुम कहाँ थे?,𑂞𑂳𑂧 𑂍𑂯𑂰𑂀 𑂟𑂵?
Where were you,आप कहाँ थे?,𑂄𑂣 𑂍𑂯𑂰𑂀 𑂟𑂵?
You have to go,तुम्हें जाना होगा।,𑂞𑂳𑂧𑂹𑂯𑂵𑂁 𑂔𑂰𑂢𑂰 𑂯𑂷𑂏𑂰।
You look tired,तुम थके-हारे से लगते हो।,𑂞𑂳𑂧 𑂟𑂍𑂵-𑂯𑂰𑂩𑂵 𑂮𑂵 𑂪𑂏𑂞𑂵 𑂯𑂷।
You're kidding,मज़ाक कर रहे हो!,𑂧𑂔़𑂰𑂍 𑂍𑂩 𑂩𑂯𑂵 𑂯𑂷!
A man must work,एक आदमी के लिए काम करना ज़रूरी है।,𑂉𑂍 𑂄𑂠𑂧𑂲 𑂍𑂵 𑂪𑂱𑂉 𑂍𑂰𑂧 𑂍𑂩𑂢𑂰 𑂔़𑂩𑂴𑂩𑂲 𑂯𑂶।
Are you at home,तुम घर पे हो क्या?,𑂞𑂳𑂧 𑂐𑂩 𑂣𑂵 𑂯𑂷 𑂍𑂹𑂨𑂰?
Are you guys OK,क्या आप लोग ठीक हो?,𑂍𑂹𑂨𑂰 𑂄𑂣 𑂪𑂷𑂏 𑂘𑂲𑂍 𑂯𑂷?
Come home early,जल्दी घर आजाओ।,𑂔𑂪𑂹𑂠𑂲 𑂐𑂩 𑂄𑂔𑂰𑂋।
Come if you can,आ सको तो आना।,𑂄 𑂮𑂍𑂷 𑂞𑂷 𑂄𑂢𑂰।
Congratulations,बधाई हो!,𑂥𑂡𑂰𑂆 𑂯𑂷!
Congratulations,मुबारक हो!,𑂧𑂳𑂥𑂰𑂩𑂍 𑂯𑂷!
Did he go there,वह वहाँ गया क्या?,𑂫𑂯 𑂫𑂯𑂰𑂀 𑂏𑂨𑂰 𑂍𑂹𑂨𑂰?
Did you miss me,मेरी याद आई क्या?,𑂧𑂵𑂩𑂲 𑂨𑂰𑂠 𑂄𑂆 𑂍𑂹𑂨𑂰?
Don't be absurd,पागल मत बनो।,𑂣𑂰𑂏𑂪 𑂧𑂞 𑂥𑂢𑂷।
He came running,वह भागते हुए आया।,𑂫𑂯 𑂦𑂰𑂏𑂞𑂵 𑂯𑂳𑂉 𑂄𑂨𑂰।
He can't be ill,वह बीमार नहीं हो सकता।,𑂫𑂯 𑂥𑂲𑂧𑂰𑂩 𑂢𑂯𑂲𑂁 𑂯𑂷 𑂮𑂍𑂞𑂰।
He has a hat on,उसने टोपी पहनी हुई है।,𑂇𑂮𑂢𑂵 𑂗𑂷𑂣𑂲 𑂣𑂯𑂢𑂲 𑂯𑂳𑂆 𑂯𑂶।
